Pin Pin_Name Bank
G24 IO_L14P_T2_SRCC_14_G24 14
F24 IO_L14N_T2_SRCC_14_F24 14
E25 IO_L15P_T2_DQS_RDWR_B_14_E25 14
D25 IO_L15N_T2_DQS_DOUT_CSO_B_14_D25 14
G25 IO_L16P_T2_CSI_B_14_G25 14
G26 IO_L16N_T2_A15_D31_14_G26 14
F25 IO_L17P_T2_A14_D30_14_F25 14
E26 IO_L17N_T2_A13_D29_14_E26 14
J26 IO_L18P_T2_A12_D28_14_J26 14
H26 IO_L18N_T2_A11_D27_14_H26 14
H21 IO_L19P_T3_A10_D26_14_H21 14
G21 IO_L19N_T3_A09_D25_VREF_14_G21 14
H23 IO_L20P_T3_A08_D24_14_H23 14
H24 IO_L20N_T3_A07_D23_14_H24 14
J21 IO_L21P_T3_DQS_14_J21 14
H22 IO_L21N_T3_DQS_A06_D22_14_H22 14
J24 IO_L22P_T3_A05_D21_14_J24 14
J25 IO_L22N_T3_A04_D20_14_J25 14
L22 IO_L23P_T3_A03_D19_14_L22 14
K22 IO_L23N_T3_A02_D18_14_K22 14
K23 IO_L24P_T3_A01_D17_14_K23 14
J23 IO_L24N_T3_A00_D16_14_J23 14
L23 IO_25_14_L23 14
K15 IO_0_15_K15 15
C16 IO_L1P_T0_AD0P_15_C16 15
B16 IO_L1N_T0_AD0N_15_B16 15
A18 IO_L2P_T0_AD8P_15_A18 15
A19 IO_L2N_T0_AD8N_15_A19 15
B17 IO_L3P_T0_DQS_AD1P_15_B17 15
A17 IO_L3N_T0_DQS_AD1N_15_A17 15
C19 IO_L4P_T0_AD9P_15_C19 15
B19 IO_L4N_T0_AD9N_15_B19 15
C17 IO_L5P_T0_AD2P_15_C17 15
C18 IO_L5N_T0_AD2N_15_C18 15
D15 IO_L6P_T0_15_D15 15
D16 IO_L6N_T0_VREF_15_D16 15
H16 IO_L7P_T1_AD10P_15_H16 15
G16 IO_L7N_T1_AD10N_15_G16 15
G15 IO_L8P_T1_AD3P_15_G15 15
F15 IO_L8N_T1_AD3N_15_F15 15
J15 IO_L9P_T1_DQS_AD11P_15_J15 15
